generation,best_fitness,avg_fitness
0,25,15.9
1,25,17.75
2,25,19.05
3,25,20.075
4,27,21.125
5,28,22.1
6,28,22.925
7,29,23.525
8,29,24.416666666666668
9,30,25.275
10,29,25.641666666666666
11,29,26.033333333333335
12,30,26.675
13,30,27.233333333333334
14,30,27.883333333333333
15,31,28.316666666666666
16,31,28.658333333333335
17,32,29.083333333333332
