generation,best_fitness,avg_fitness
0,24,15.858333333333333
1,26,18.883333333333333
2,26,20.983333333333334
3,26,22.691666666666666
4,28,23.866666666666667
5,29,24.916666666666668
6,29,26.058333333333334
7,30,26.95
8,31,28.075
9,32,28.7
