generation,best_fitness,avg_fitness
0,22,16.333333333333332
1,24,19.908333333333335
2,26,22.058333333333334
3,28,23.683333333333334
4,29,25.3
5,30,26.891666666666666
6,31,28.316666666666666
7,32,29.275
