generation,best_fitness,avg_fitness
0,21,15.820833333333333
1,23,18.0625
2,24,19.770833333333332
3,25,21.104166666666668
4,28,22.304166666666667
5,28,23.358333333333334
6,28,24.733333333333334
7,29,25.9625
8,30,26.945833333333333
9,31,27.620833333333334
10,31,28.429166666666667
11,32,28.833333333333332
