generation,best_fitness,avg_fitness
0,22,16.025
1,24,18.0
2,24,19.783333333333335
3,27,21.35
4,27,22.916666666666668
5,28,24.466666666666665
6,28,25.875
7,29,26.75
8,29,27.283333333333335
9,29,27.875
10,30,28.358333333333334
11,30,28.875
12,31,29.275
13,32,29.741666666666667
