generation,best_fitness,avg_fitness
0,22,16.25
1,23,18.4
2,25,20.45
3,24,21.183333333333334
4,26,22.133333333333333
5,26,23.15
6,27,23.95
7,27,24.916666666666668
8,30,25.733333333333334
9,30,26.6
10,30,27.433333333333334
11,31,28.183333333333334
12,32,28.766666666666666
