generation,best_fitness,avg_fitness
0,24,16.008333333333333
1,25,18.483333333333334
2,26,20.6
3,28,22.366666666666667
4,28,23.633333333333333
5,29,24.9
6,29,26.008333333333333
7,30,27.091666666666665
8,31,27.875
9,32,28.7
