generation,best_fitness,avg_fitness
0,24,16.208333333333332
1,24,18.483333333333334
2,28,20.341666666666665
3,28,21.933333333333334
4,29,23.683333333333334
5,29,25.483333333333334
6,30,26.491666666666667
7,30,27.583333333333332
8,30,28.291666666666668
9,31,28.7
10,31,29.233333333333334
11,32,29.716666666666665
