generation,best_fitness,avg_fitness
0,24,16.016666666666666
1,28,19.2625
2,28,22.029166666666665
3,29,24.758333333333333
4,30,27.058333333333334
5,31,28.6125
6,31,29.666666666666668
7,32,30.3
